1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Asheville,222424,231399,216470,237573,239495,244881,242984,245648,247651,247179,244157,244702,246762,239195,240922,235841,238669,230088,230662,229524,231512,235009,229116,232735,234345,231563,231827,230243,231120,228956,226596,229200,229789,229179,225975,227919,227563,229550,228261,225480,227359,226989,225734,225132,226773,222920,221421,223944,223023,224379,223760
Burlington,76710,81202,73413,82489,83133,82300,81883,82595,83283,82702,82305,82133,82148,81727,81237,80346,81200,80618,80231,79395,80614,80809,79528,80532,80335,80326,79779,79025,79913,80490,79995,80734,80612,80076,79450,79481,79415,80528,79525,79395,80027,78935,79274,78227,78830,77839,77480,78456,77807,79155,79129
Charlotte-Concord-Gastonia,1327021,1353433,1266077,1378882,1387255,1378411,1373676,1380941,1390702,1397417,1380190,1378937,1390440,1366225,1364618,1344097,1351715,1345498,1343634,1333951,1351190,1348400,1331444,1342929,1348530,1341393,1334098,1326128,1331286,1311802,1306178,1314990,1317951,1311602,1300665,1309079,1307077,1308936,1302002,1301445,1303796,1278187,1280758,1260871,1281134,1263050,1256621,1266003,1272393,1268770,1265998
Durham-Chapel Hill,282975,301558,277931,308381,311134,304560,301746,305460,306698,307554,303255,305574,306027,303930,303724,298762,302591,299686,298927,298279,300555,305021,300110,301064,302589,299696,298015,294172,297959,297461,293754,298055,297904,296231,293909,291402,293170,294993,292882,290777,294003,291538,293934,288689,290246,287838,285084,288050,285378,289283,287775
Fayetteville,142524,145609,137296,148265,148922,150117,149426,150636,150961,151882,149399,151774,153007,150908,150731,149487,150226,148469,148870,145174,148132,148089,145390,148866,149427,148955,148441,147908,147958,148757,148440,149008,148964,146897,145491,147078,146994,147989,146620,148427,147928,149121,149927,147126,147779,146131,144961,147695,148739,149060,148079
Goldsboro,47199,50874,45924,52599,52631,53086,52970,52927,53103,53776,52409,53707,53395,53114,53131,53012,53407,52342,52586,51907,52627,53308,52050,53247,53420,53436,53141,52856,53521,52308,52097,52773,52589,53021,52078,53017,52543,54286,53497,53556,53771,54157,54085,54242,54413,54808,53349,54899,54665,55723,55022
Greensboro-High Point,349323,363339,332783,371328,373620,374695,371154,374487,377639,374912,371823,373732,373226,371523,371974,368870,370224,372911,369553,367972,373486,372689,367066,372670,373567,371789,371085,367361,371396,370589,366015,371856,370270,369165,367681,368456,368934,373759,369557,369012,369980,376682,377121,371164,375739,368437,366479,369627,369504,372609,371734
Greenville,86416,88929,81519,90280,91120,91399,90845,91533,91701,92033,91270,91483,91667,91375,90434,89852,90730,89155,88954,89246,89360,90537,88949,90323,90323,90260,89781,89202,89935,87813,87122,88608,87860,88145,87422,87988,86971,89009,87610,88426,88495,87992,88258,87920,88193,87037,86349,87703,87396,88889,87710
Hickory-Lenoir-Morganton,163759,171921,162359,176018,177142,176183,174931,176326,177719,177407,175426,176862,177241,176371,176174,176160,176796,176714,175202,174034,176224,175795,173529,175957,175880,175532,174839,174033,175108,171656,170022,172189,171654,172171,170692,171843,171219,173658,171775,173092,173166,168021,168598,167002,167980,167419,165323,167743,167642,170013,168994
Jacksonville,63407,64589,61868,66118,66647,64795,64600,64648,64865,64143,65749,65784,65755,65187,65259,64164,65177,64438,64701,63513,65249,62800,63962,64812,65011,65013,64773,64023,64891,64638,63844,64715,64562,62063,63951,63843,63567,64060,63767,63703,63842,65360,65145,64590,64845,62873,64688,64806,65293,64920,64800
New Bern,48570,50442,48603,51808,52080,51785,51716,51923,51946,53050,52101,52212,52771,51735,51699,51303,51521,51205,51023,50551,51398,52908,51882,51963,52901,51824,51665,51157,51676,51809,51190,52137,51614,52989,52079,51927,52622,52358,52102,51935,51967,52155,52180,51784,52053,52584,51771,52122,52311,52547,52095
Raleigh,679922,723237,656134,736826,744997,735023,730317,736498,741411,746026,735872,729762,736106,723623,723183,711723,717100,715411,712202,711287,719031,729106,714144,714281,718863,709043,708217,699473,705514,704795,697032,704093,702989,706799,698210,690969,694451,693105,690039,686575,689547,685493,687991,675826,681763,683596,671785,674091,677073,679315,675157
Rocky Mount,62949,63085,59914,65159,65260,65449,65128,64609,65692,65524,64167,65406,64955,65168,64877,65226,65826,64393,64146,62497,64115,64580,62920,64927,64752,65274,64851,64605,65301,66677,65980,65848,66670,65267,63923,65244,64868,67069,65762,66596,67278,68047,67840,66411,67703,65701,64478,65958,65320,67699,66440
Wilmington,141814,149781,137546,154194,155532,155721,154731,155209,156588,156818,155501,154664,155944,151619,152407,149342,151093,146369,144997,141885,145094,149699,146887,148184,148931,146703,146917,143498,145642,147388,145654,148594,147350,148492,146988,146238,146336,145317,146148,142840,144054,141552,141398,142516,142295,143241,142063,141267,141944,139862,141068
Winston-Salem,310423,323936,301508,332104,333375,334672,332876,337136,339479,338590,335122,335940,338145,334022,331584,329886,332831,328672,327665,325145,330187,329096,322313,329349,331045,328193,328110,324910,327191,323723,321219,324614,323465,323496,319929,321677,321556,325205,321467,323951,324420,323028,324358,321737,323764,320264,317014,321100,322167,324994,321627
